,id,user_id,created_at,type,os,state
0,b4ac4cfb6a,f76d3628cb,2013-02-12 13:46:37,Phone,Android,deleted
1,3740780237,f76d3628cb,2014-04-11 08:32:44,Tablet,Android,deleted
2,3a78940895,f76d3628cb,2014-04-19 14:52:01,Tablet,Android,deleted
3,74ab455a9d,f76d3628cb,2015-04-20 15:51:23,Phone,Android,deleted
4,400458972f,f76d3628cb,2016-06-21 10:56:59,Phone,Android,deleted
5,683b3f2756,f76d3628cb,2017-03-30 21:08:53,Phone,Android,deleted
6,f70a168e4d,f76d3628cb,2017-06-26 11:03:35,Phone,Android,deleted
7,51105dbedb,f76d3628cb,2017-07-07 16:18:53,Phone,Android,deleted
8,08028d24e0,f76d3628cb,2018-09-14 16:29:07,Phone,Android,deleted
9,3954c67fbd,f76d3628cb,2019-07-04 11:46:59,Phone,Android,ok
10,14f71f544c,f76d3628cb,2020-01-04 14:23:33,Tablet,Android,ok
11,284d23afe6,f76d3628cb,2020-12-09 08:28:29,Phone,Android,ok
12,9a20d0a16f,ecf04f4dc8,2009-10-12 18:56:36,Laptop,Windows,deleted
13,5ab3539e37,ecf04f4dc8,2010-09-30 18:38:32,Laptop,Windows,deleted
14,661f7150dc,ecf04f4dc8,2011-09-06 21:02:54,Laptop,Windows,deleted
15,43e77c5426,ecf04f4dc8,2016-05-18 18:06:55,Laptop,Windows,deleted
16,35e086edbc,ecf04f4dc8,2017-12-08 17:32:13,Laptop,Windows,ok
17,895d19c52f,ecf04f4dc8,2018-01-11 20:06:13,Laptop,Windows,ok
18,78e0e79124,ecf04f4dc8,2018-01-12 16:42:22,Laptop,Windows,ok
19,770d81a816,2f77d13af9,2009-09-21 08:24:22,Laptop,Windows,deleted
20,5cbae924b4,2f77d13af9,2015-11-17 15:37:26,Phone,Android,deleted
21,0d44f198ca,2f77d13af9,2015-11-17 15:53:36,Laptop,Windows,deleted
22,27f8e910d2,2f77d13af9,2016-01-18 02:16:12,Phone,Android,deleted
23,2403daa1cb,2f77d13af9,2016-02-05 05:36:28,Laptop,Windows,deleted
24,22f813d4f8,2f77d13af9,2016-08-08 07:24:39,Phone,Android,deleted
25,bf03b767e2,2f77d13af9,2016-08-10 02:58:44,Phone,Android,deleted
26,11cae8230b,2f77d13af9,2017-12-01 22:10:16,Phone,Android,deleted
27,86775f6b7a,2f77d13af9,2017-12-01 22:13:49,Phone,Android,deleted
28,428a3308eb,2f77d13af9,2017-12-01 22:14:02,Tablet,Android,deleted
29,49497852a5,2f77d13af9,2017-12-01 22:15:32,Tablet,Ios,deleted
30,3f0507b28c,2f77d13af9,2017-12-01 22:18:12,Laptop,Windows,ok
31,56c82aa05b,2f77d13af9,2017-12-01 22:22:20,Laptop,Windows,deleted
32,4fddd30897,2f77d13af9,2017-12-01 22:27:19,Laptop,Windows,ok
33,781cd29e08,2f77d13af9,2017-12-01 22:35:17,Laptop,Windows,deleted
34,70b3e8b489,2f77d13af9,2018-04-29 17:33:10,Phone,Android,deleted
35,5361ad7159,2f77d13af9,2018-06-03 00:53:51,Phone,Ios,deleted
36,a8d3581ebd,2f77d13af9,2020-03-13 20:17:03,Tablet,Android,deleted
37,a5dbaa4c0e,2f77d13af9,2020-03-13 20:49:03,Phone,Android,deleted
38,4b9eeae1fd,2f77d13af9,2020-03-14 03:44:08,Tablet,Android,deleted
39,06b6092365,2f77d13af9,2021-01-02 21:32:28,Phone,Android,ok
40,df212fe1e8,46cfd7f501,2009-10-17 00:14:13,Laptop,Mac,deleted
41,a2d3bc15d2,46cfd7f501,2010-02-06 23:52:42,Laptop,Mac,deleted
42,abd1d52a9a,46cfd7f501,2010-03-28 01:32:09,Laptop,Mac,deleted
43,eeb2c0b176,46cfd7f501,2016-02-17 00:10:53,Laptop,Mac,deleted
44,f2e7dd1dfd,46cfd7f501,2016-02-17 00:13:28,Phone,Ios,deleted
