,id,customer_id,plan,plan_quantity,plan_unit_price,plan_amount,billing_period,billing_period_unit,status,created_at,cancelled_at,mrr
0,432b3039f9,fcfb0eb83c,empresa-yearly,10,19.44,194.4,1,year,active,2020-11-03 20:01:32,,1620.0
1,69357f2a75,faf4000b11,individual-yearly,1,54.0,54.0,1,year,active,2019-03-21 21:41:13,,450.0
2,f609532873,0193c994c3,individual-yearly,1,54.0,54.0,1,year,active,2019-12-01 15:44:50,,450.0
3,84f5f0ca99,8bec648ce3,individual-monthly,1,5.0,5.0,1,month,cancelled,2019-01-21 06:01:34,2019-01-22 17:10:20,0.0
4,cc827d512c,0cf4a05adc,individual-yearly,1,54.0,54.0,1,year,cancelled,2019-05-02 00:16:49,2020-04-27 13:29:02,0.0
5,166c8d8be3,e12172ba03,trial-daily,30,,,1,week,cancelled,2019-12-12 13:44:29,2019-12-20 14:53:39,0.0
6,88f27515e1,64d511a1db,individual-monthly,1,5.0,5.0,1,month,cancelled,2018-12-14 16:18:55,2019-08-25 17:52:47,0.0
7,60b3fb2484,e670c91864,familia-monthly,1,15.0,15.0,1,month,cancelled,2018-12-14 16:21:43,2019-03-03 06:59:55,0.0
8,1ef279f8be,78312e84d0,individual-yearly,1,54.0,54.0,1,year,cancelled,2018-12-14 16:29:50,2019-10-04 03:00:18,0.0
9,c14ff2627b,684a4b3d5b,trial-daily,100,,,1,week,cancelled,2020-11-17 02:50:59,2020-12-01 02:51:54,0.0
10,04c46aca7f,79478485c5,individual-monthly,1,5.0,5.0,1,month,cancelled,2019-09-08 05:03:54,2019-10-17 05:04:01,0.0
11,c5af2697dc,f02650f658,individual-monthly,1,5.0,5.0,1,month,cancelled,2020-12-31 06:30:55,2021-01-07 16:43:44,0.0
12,785019474c,cd50216568,individual-monthly,1,5.0,5.0,1,month,active,2018-12-14 16:29:00,,500.0
13,439ccf1a73,5ee3272e6e,individual-monthly,1,5.0,5.0,1,month,cancelled,2019-10-19 16:02:58,2019-10-26 21:00:11,0.0
14,46a0f84470,a797910822,individual-monthly,1,5.0,5.0,1,month,active,2018-12-14 16:14:17,,500.0
15,03c022908f,e48e416ad3,individual-monthly,1,5.0,5.0,1,month,active,2018-12-14 16:32:21,,500.0
16,c6cb9bda86,6680896389,individual-monthly,1,5.0,5.0,1,month,cancelled,2019-12-01 06:45:48,2020-03-10 06:45:51,0.0
17,7fb0f76b61,d4a602f9b6,empresa-monthly,78,1.26,98.28,1,month,active,2018-12-14 16:26:13,,9828.0
18,3cf38a4ef8,91576fb7de,individual-yearly,1,54.0,54.0,1,year,cancelled,2018-12-14 16:19:10,2019-03-12 03:00:10,0.0
19,c4f419fa2c,201232a34f,individual-monthly,1,5.0,5.0,1,month,cancelled,2020-02-18 16:30:54,2020-04-27 16:31:00,0.0
20,d104a65082,3399cb1c87,familia-yearly,1,162.0,162.0,1,year,active,2020-02-12 02:36:52,,1350.0
21,796cfa1838,429f5ef989,individual-monthly,1,5.0,5.0,1,month,cancelled,2019-08-14 02:32:40,2020-02-23 02:32:46,0.0
22,76be3d1bd7,e46c717f93,individual-monthly,1,5.0,5.0,1,month,active,2019-07-19 20:16:43,,500.0
23,a140aec6de,3f9b709c4c,trial-daily,100,,,1,week,cancelled,2020-12-01 15:00:59,2020-12-15 15:01:01,0.0
24,7391b9327c,f949f7e07e,trial-daily,20,,,1,week,cancelled,2020-06-30 18:49:15,2020-07-21 14:58:27,0.0
25,b7eb12c587,c0e4829729,trial-daily,100,,,1,week,future,2020-11-16 02:55:21,,
26,de01c44e0c,a46a617ff7,individual-yearly,1,54.0,54.0,1,year,cancelled,2018-12-14 16:16:46,2020-06-18 04:01:34,0.0
27,961a07d441,8520574b4b,individual-monthly,1,5.0,5.0,1,month,cancelled,2019-02-28 16:47:52,2019-03-17 08:34:33,0.0
28,d541fed518,e4870b3b35,trial-daily,100,,,1,week,cancelled,2020-08-10 17:07:06,2020-09-16 23:47:11,0.0
29,cafbe75ac8,8b31ea5f19,individual-monthly,1,5.0,5.0,1,month,cancelled,2018-12-14 16:32:32,2019-06-22 04:00:46,0.0
30,b3596753f3,92cdcff739,individual-yearly,1,54.0,54.0,1,year,active,2018-12-14 16:31:15,,450.0
31,2b089e58b8,589832ad07,familia-monthly,1,15.0,15.0,1,month,cancelled,2018-12-14 16:19:44,2019-04-10 03:00:10,0.0
32,c57b0e9bf9,0e1afa47cb,individual-monthly,1,5.0,5.0,1,month,cancelled,2019-11-03 05:45:48,2019-12-04 16:19:24,0.0
33,501f93dce1,8e086f003b,individual-monthly,1,5.0,5.0,1,month,cancelled,2018-12-14 16:23:00,2019-05-24 04:00:46,0.0
34,9d7c395e40,c175d7d8c9,individual-monthly,1,5.0,5.0,1,month,cancelled,2018-12-14 15:56:06,2020-02-23 15:56:12,0.0
35,7d24e3d0a5,3e0ad9c02a,familia-monthly,1,15.0,15.0,1,month,active,2018-12-14 16:31:35,,1500.0
36,9a5a920d54,b096f6f370,individual-monthly,1,5.0,5.0,1,month,cancelled,2019-08-18 17:14:46,2019-12-27 17:14:49,0.0
37,8d7e0b2c33,92583899a1,individual-monthly,1,5.0,5.0,1,month,cancelled,2019-01-24 22:45:32,2020-04-19 15:46:00,0.0
38,3a9fb7a859,0180af16f0,individual-yearly,1,54.0,54.0,1,year,active,2020-08-01 16:46:18,,450.0
39,19a99668dc,a931cb1791,individual-monthly,1,5.0,5.0,1,month,cancelled,2019-01-29 10:59:36,2019-05-08 10:59:44,0.0
40,55d412a8db,c58b4529da,familia-monthly,1,15.0,15.0,1,month,active,2019-12-30 17:39:28,,1500.0
41,57cd412ebf,c54ea62c02,familia-monthly,1,15.0,15.0,1,month,active,2018-12-14 16:26:00,,1500.0
42,a4bd880b30,4ea8ac511e,individual-monthly,1,5.0,5.0,1,month,cancelled,2019-07-17 19:19:19,2019-07-25 19:20:53,0.0
43,cc2861130f,6b94b4bea9,trial-daily,100,,,1,week,cancelled,2020-10-22 14:47:10,2020-11-05 14:47:42,0.0
44,5bf4369fa8,e6fd257c74,familia-monthly,1,15.0,15.0,1,month,cancelled,2019-01-20 23:21:04,2020-04-17 16:22:12,0.0
45,36491c41a5,4afbe262a2,free-yearly,50,,,1,year,active,2020-04-22 09:56:48,,0.0
46,359bed95ac,6fd3484646,trial-daily,100,,,1,week,cancelled,2020-11-09 21:44:13,2020-11-23 21:45:31,0.0
47,3fbca3ee45,170e220860,empresa-yearly-4,15,42.53,637.95,4,year,active,2018-12-14 16:28:30,,1329.0
48,2bc213fadb,a4dc6ee533,empresa-yearly-2,25,26.53,663.25,2,year,active,2020-02-20 17:39:49,,2764.0
49,06dfcb680e,3f962996d9,individual-monthly,1,5.0,5.0,1,month,cancelled,2019-09-12 12:50:42,2019-09-12 13:55:11,0.0
50,acc8401bfa,3684a0b506,familia-monthly,1,15.0,15.0,1,month,cancelled,2018-12-14 16:32:00,2019-01-20 03:00:14,0.0
51,091cd5cc3f,2a3f0b5816,trial-daily,100,,,1,week,cancelled,2020-12-09 10:12:12,2020-12-23 10:13:42,0.0
